,Zip,ICD10
828,810,27820.0
829,340,
830,953,23850.0
831,952,2999.0
832,605,3285.0
833,320,38565.0
834,80,9802.0
835,923,15245.0
836,67,
837,395,
838,957,
839,821,
840,933,25068.0
841,930,
842,354,
843,719,
844,930,12681.0
845,465,37215.0
846,465,3316.0
847,202,
848,806,
849,605,
850,917,15109.0
851,917,8918.0
852,902,37736.0
853,119,105.0
854,495,
855,786,37684.0
856,945,31732.0
857,770,25109.0
858,204,
859,341,
860,635,
861,886,
862,887,
863,686,
864,154,
865,616,
866,242,
867,265,
868,284,
869,283,
870,925,
871,925,12681.0
872,920,2847.0
873,920,3838.0
874,939,
875,942,
876,945,3217.0
877,630,15294.0
878,260,
879,63,
880,637,
881,630,37715.0
882,628,
883,624,
884,144,9802.0
885,260,36562.0
886,164,
887,654,
888,471,
889,437,
890,310,
891,638,
892,422,
893,86,
894,147,
895,185,
896,620,
897,181,
898,613,
899,623,
900,634,
901,539,
902,89,
903,72,
904,75,
905,464,
906,609,
907,479,
908,505,
909,476,
910,424,
911,619,
912,503,
913,297,
914,186,
915,131,
916,658,
917,648,
918,350,
919,187,
920,182,
921,418,
922,168,
923,158,
924,324,
925,382,
926,8,
927,933,12687.0
928,933,37718.0
929,932,
930,932,17031.0
931,936,
932,937,16918.0
933,936,36562.0
934,933,37715.0
935,488,30427.0
936,933,26619.0
937,933,15655.0
938,934,
939,934,
940,961,
941,895,
942,961,12779.0
943,924,3299.0
944,923,37644.0
945,958,
946,958,17601.0
947,958,3217.0
948,956,37687.0
949,917,37672.0
950,902,19314.0
951,926,8918.0
952,843,
953,952,9802.0
954,956,
955,864,
956,950,446.0
957,941,12306.0
958,949,37684.0
959,949,27776.0
960,830,
961,370,
962,393,
963,902,3299.0
964,900,32847.0
965,900,
966,907,
967,597,3930.0
968,920,36562.0
969,710,
970,902,32854.0
971,917,27789.0
972,925,31706.0
973,928,16915.0
974,927,12774.0
975,902,2995.0
976,902,258.0
977,900,108.0
978,900,974.0
979,941,15109.0
980,941,17611.0
981,941,3242.0
982,941,974.0
983,945,9806.0
984,913,39792.0
985,858,
986,728,
987,933,979.0
988,930,31714.0
989,925,38317.0
990,956,15066.0
991,900,37394.0
992,116,
993,104,12774.0
994,326,
995,293,
996,980,9792.0
997,977,3285.0
998,708,7663.0
999,394,
1000,920,
1001,982,277.0
1002,982,
1003,317,
1004,586,
1005,922,
1006,922,32259.0
1007,922,2978.0
1008,368,
1009,953,2841.0
1010,41,
1011,274,
1012,470,
1013,907,31732.0
1014,907,
1015,908,
1016,913,26974.0
1017,913,2865.0
1018,913,369.0
1019,913,37707.0
1020,913,
1021,913,12997.0
1022,913,41762.0
1023,936,12554.0
1024,950,376.0
1025,940,262.0
1026,932,
1027,937,15090.0
1028,959,3930.0
1029,959,9788.0
1030,959,38555.0
1031,902,12808.0
1032,927,440.0
1033,930,12900.0
1034,930,12920.0
1035,955,36562.0
1036,955,15094.0
1037,955,
1038,937,108.0
1039,653,
1040,652,
1041,749,
1042,352,
1043,353,
1044,692,
1045,925,9150.0
1046,934,
1047,932,36483.0
1048,953,34840.0
1049,936,
1050,941,
1051,960,
1052,960,12556.0
1053,960,37388.0
1054,960,19315.0
1055,960,
1056,960,
1057,960,12779.0
1058,975,
1059,922,9802.0
1060,953,37854.0
1061,922,12898.0
1062,360,
1063,205,
1064,771,
1065,934,110.0
1066,930,37718.0
1067,926,
1068,912,37549.0
1069,895,37672.0
1070,548,
1071,262,
1072,263,
1073,763,
1074,40,
1075,824,
1076,926,4102.0
1077,926,15077.0
1078,304,
1079,387,
1080,259,
1081,258,
1082,950,37512.0
1083,574,
1084,949,39027.0
1085,60,15301.0
1086,902,
1087,852,
1088,953,12681.0
1089,940,32847.0
1090,937,17601.0
1091,925,
1092,952,15093.0
1093,925,24851.0
1094,907,
1095,910,36549.0
1096,923,
1097,591,12681.0
1098,981,36562.0
1099,786,29243.0
1100,927,3299.0
1101,906,24477.0
1102,922,16822.0
1103,853,12681.0
1104,922,
1105,922,
1106,947,37716.0
1107,162,
1108,606,37201.0
1109,940,15068.0
1110,241,
1111,25,
1112,403,
1113,308,
1114,311,
1115,504,
1116,375,
1117,913,15066.0
1118,913,37626.0
1119,155,
1120,742,
1121,496,
1122,854,
1123,179,
1124,922,9792.0
1125,852,12685.0
1126,802,448.0
1127,980,36562.0
1128,457,
1129,777,
1130,917,30564.0
1131,917,27820.0
1132,958,31714.0
1133,958,394.0
1134,958,36560.0
1135,952,
1136,958,8997.0
1137,956,15542.0
1138,957,15250.0
1139,910,36562.0
1140,916,
1141,928,
1142,951,12558.0
1143,18,3707.0
1144,950,27782.0
1145,956,16843.0
1146,936,12681.0
1147,845,
1148,936,108.0
1149,936,24981.0
1150,926,12682.0
1151,928,108.0
1152,928,
1153,928,15229.0
1154,908,27795.0
1155,366,
1156,947,
1157,917,
1158,923,2847.0
1159,917,37684.0
1160,782,25068.0
1161,920,12553.0
1162,776,
1163,706,
1164,917,603.0
1165,900,
1166,933,446.0
1167,902,37707.0
1168,923,28685.0
1169,917,3383.0
1170,917,9350.0
1171,917,3299.0
1172,945,30596.0
1173,926,12891.0
1174,926,16843.0
1175,926,27820.0
1176,928,12935.0
1177,945,4151.0
1178,210,
1179,521,
1180,907,
1181,905,28495.0
1182,906,27830.0
1183,905,
1184,606,4047.0
1185,606,24016.0
1186,48,
1187,945,3257.0
1188,941,36562.0
1189,678,
1190,525,
1191,850,9792.0
1192,951,12900.0
1193,921,31717.0
1194,214,37672.0
1195,770,12934.0
1196,983,3217.0
1197,921,402.0
1198,910,34175.0
1199,902,4102.0
1200,914,36562.0
1201,907,2837.0
1202,906,37759.0
1203,900,12893.0
1204,908,37504.0
1205,928,32847.0
1206,911,3845.0
1207,910,17601.0
1208,911,9810.0
1209,933,37693.0
1210,933,
1211,933,
1212,932,9788.0
1213,932,16841.0
1214,932,
1215,932,27783.0
1216,933,35207.0
1217,945,3358.0
1218,945,37340.0
1219,415,
1220,913,2839.0
1221,25,108.0
1222,294,5808.0
1223,551,36562.0
1224,45,
1225,357,9783.0
1226,359,
1227,358,4417.0
1228,358,38318.0
1229,358,27795.0
1230,404,
1231,351,
1232,357,8992.0
1233,270,
1234,14,
1235,159,
1236,56,
1237,516,
1238,12,
1239,16,
1240,47,
1241,801,16823.0
1242,803,27819.0
1243,427,
1244,828,
1245,895,
1246,863,
1247,863,15250.0
1248,856,9150.0
1249,856,37077.0
1250,920,23512.0
1251,925,108.0
1252,919,37202.0
1253,925,3838.0
1254,423,12682.0
1255,413,
1256,674,
1257,884,
1258,723,
1259,312,
1260,675,
1261,396,
1262,520,
1263,401,
1264,542,
1265,213,
1266,388,
1267,707,8969.0
1268,397,
1269,389,
1270,580,
1271,398,
1272,361,
1273,416,
1274,922,24239.0
1275,922,32847.0
1276,227,
1277,941,27812.0
1278,941,12893.0
1279,941,
1280,941,27813.0
1281,916,
1282,750,9792.0
1283,770,12893.0
1284,786,28434.0
1285,17,9561.0
1286,126,
1287,127,
1288,786,30552.0
1289,945,15068.0
1290,917,3981.0
1291,923,
1292,923,13004.0
1293,925,978.0
1294,925,3298.0
1295,941,16809.0
1296,941,37575.0
1297,941,9792.0
1298,941,15077.0
1299,941,9811.0
1300,941,34189.0
1301,959,12914.0
1302,959,15542.0
1303,741,12909.0
1304,923,25109.0
1305,78,39781.0
1306,74,5810.0
1307,198,
1308,950,980.0
1309,951,24477.0
1310,951,27819.0
1311,937,12998.0
1312,677,
1313,937,8969.0
1314,93,
1315,932,24016.0
1316,907,9013.0
1317,908,15249.0
1318,908,28430.0
1319,925,37835.0
1320,925,27819.0
1321,923,2835.0
1322,908,23990.0
1323,980,28510.0
1324,981,37201.0
1325,977,37403.0
1326,335,15094.0
1327,264,
1328,724,
1329,267,
