ICD10,ICD10_Numeric
00N13ZZ,1275
00N14ZZ,1276
00N20ZZ,1277
00N23ZZ,1278
00N24ZZ,1279
00N60ZZ,1280
00N63ZZ,1281
00N64ZZ,1282
00N70ZZ,1283
00N73ZZ,1284
00N74ZZ,1285
00N80ZZ,1286
00N83ZZ,1287
00N84ZZ,1288
00N90ZZ,1289
00N93ZZ,1290
00N94ZZ,1291
00NA0ZZ,1292
00NA3ZZ,1293
00NA4ZZ,1294
00NB0ZZ,1295
00NB3ZZ,1296
00NB4ZZ,1297
00NC0ZZ,1298
00NC3ZZ,1299
00NC4ZZ,1300
00ND0ZZ,1301
00ND3ZZ,1302
00ND4ZZ,1303
00NK0ZZ,1304
00NK3ZZ,1305
00NK4ZZ,1306
00P000Z,1307
00P002Z,1308
00P003Z,1309
00P007Z,1310
00P00JZ,1311
00P00KZ,1312
00P00MZ,1313
00P030Z,1314
00P032Z,1315
00P033Z,1316
00P037Z,1317
00P03JZ,1318
00P03KZ,1319
00P03MZ,1320
00P040Z,1321
00P042Z,1322
00P043Z,1323
00P047Z,1324
00P04JZ,1325
00P04KZ,1326
00P04MZ,1327
00P600Z,1328
00P602Z,1329
00P603Z,1330
00P60MZ,1331
00P630Z,1332
00P632Z,1333
00P633Z,1334
00P63MZ,1335
00P640Z,1336
00P642Z,1337
00P643Z,1338
00P64MZ,1339
00P6X2Z,1340
00P6XMZ,1341
00Q00ZZ,1342
00Q03ZZ,1343
00Q04ZZ,1344
00Q10ZZ,1345
00Q13ZZ,1346
00Q14ZZ,1347
00Q20ZZ,1348
00Q23ZZ,1349
00Q24ZZ,1350
00Q60ZZ,1351
00Q63ZZ,1352
00Q64ZZ,1353
00Q70ZZ,1354
00Q73ZZ,1355
00Q74ZZ,1356
00Q80ZZ,1357
00Q83ZZ,1358
00Q84ZZ,1359
00Q90ZZ,1360
00Q93ZZ,1361
00Q94ZZ,1362
00QA0ZZ,1363
00QA3ZZ,1364
00QA4ZZ,1365
00QB0ZZ,1366
00QB3ZZ,1367
00QB4ZZ,1368
00QC0ZZ,1369
00QC3ZZ,1370
001U074,1371
001U076,1372
001U077,1373
001U079,1374
001U0J4,1375
001U0J6,1376
001U0J7,1377
001U0J9,1378
001U0K4,1379
001U0K6,1380
001U0K7,1381
001U0K9,1382
001U374,1383
001U376,1384
001U377,1385
001U379,1386
001U3J4,1387
001U3J6,1388
001U3J7,1389
001U3J9,1390
001U3K4,1391
001U3K6,1392
001U3K7,1393
001U3K9,1394
005T0ZZ,1395
005T3ZZ,1396
005T4ZZ,1397
005W0ZZ,1398
005W3ZZ,1399
005W4ZZ,1400
005X0ZZ,1401
005X3ZZ,1402
005X4ZZ,1403
005Y0ZZ,1404
005Y3ZZ,1405
005Y4ZZ,1406
008W0ZZ,1407
008W3ZZ,1408
008W4ZZ,1409
008X0ZZ,1410
008X3ZZ,1411
008X4ZZ,1412
008Y0ZZ,1413
008Y3ZZ,1414
008Y4ZZ,1415
009T00Z,1416
009T0ZX,1417
009T0ZZ,1418
009T30Z,1419
009T3ZX,1420
009T3ZZ,1421
009T40Z,1422
009T4ZX,1423
009T4ZZ,1424
009U00Z,1425
009U0ZX,1426
009U0ZZ,1427
009W00Z,1428
009W0ZX,1429
009W0ZZ,1430
009W30Z,1431
009W3ZX,1432
009W3ZZ,1433
009W40Z,1434
009W4ZX,1435
009W4ZZ,1436
009X00Z,1437
009X0ZX,1438
009X0ZZ,1439
009X30Z,1440
009X3ZX,1441
009X3ZZ,1442
009X40Z,1443
009X4ZX,1444
009X4ZZ,1445
009Y00Z,1446
009Y0ZX,1447
009Y0ZZ,1448
009Y30Z,1449
009Y3ZX,1450
009Y3ZZ,1451
009Y40Z,1452
009Y4ZX,1453
009Y4ZZ,1454
00BT0ZX,1455
00BT0ZZ,1456
00BT3ZX,1457
00BT3ZZ,1458
00BT4ZX,1459
00BT4ZZ,1460
00BW0ZX,1461
00BW0ZZ,1462
00BW3ZX,1463
00BW3ZZ,1464
00BW4ZX,1465
00BW4ZZ,1466
00BX0ZX,1467
00BX0ZZ,1468
00BX3ZX,1469
00BX3ZZ,1470
00BX4ZX,1471
00BX4ZZ,1472
00BY0ZX,1473
00BY0ZZ,1474
00BY3ZX,1475
00BY3ZZ,1476
00BY4ZX,1477
00BY4ZZ,1478
00CT0ZZ,1479
00CT3ZZ,1480
00CT4ZZ,1481
00CW0ZZ,1482
00CW3ZZ,1483
00CW4ZZ,1484
00CX0ZZ,1485
00CX3ZZ,1486
00CX4ZZ,1487
00CY0ZZ,1488
00CY3ZZ,1489
00CY4ZZ,1490
00DT0ZZ,1491
00DT3ZZ,1492
00DT4ZZ,1493
00FU0ZZ,1494
00FU3ZZ,1495
00FU4ZZ,1496
00FUXZZ,1497
00HU02Z,1498
00HU0MZ,1499
00HU32Z,1500
00HU3MZ,1501
00HU42Z,1502
